max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,val_accuracy,val_precision,val_recall,val_f1
15.0,log2,2,10,400,0.7378291711203965,0.7543039319872477,0.6971125515615793,0.7245814618211515
15.0,log2,4,2,200,0.7374404819745408,0.7532329870680518,0.6978982518169319,0.7245106035889071
15.0,log2,4,2,300,0.7376348265474687,0.7537677775419231,0.6975054016892556,0.7245460110181595
15.0,log2,4,2,400,0.7383150325527159,0.7542408821034775,0.6986839520722844,0.7254002243295605
15.0,log2,4,5,200,0.7374404819745408,0.7532329870680518,0.6978982518169319,0.7245106035889071
15.0,log2,4,5,300,0.7376348265474687,0.7537677775419231,0.6975054016892556,0.7245460110181595
15.0,log2,4,5,400,0.7383150325527159,0.7542408821034775,0.6986839520722844,0.7254002243295605
15.0,log2,4,10,200,0.7390924108444271,0.7545493017350825,0.7004517776468278,0.7264948558622797
15.0,log2,4,10,300,0.7393839277038189,0.7549206349206349,0.7006482027106659,0.7267726161369193
15.0,log2,4,10,400,0.7399669614226023,0.7555555555555555,0.7012374779021803,0.7273838630806846
20.0,sqrt,1,2,200,0.73442814109416,0.7487341772151899,0.6971125515615793,0.7220018309429356
20.0,sqrt,1,2,300,0.7332620736565931,0.7476773648648649,0.6955411510508741,0.7206675485906177
20.0,sqrt,1,2,400,0.7335535905159848,0.748676688545416,0.6945590257316834,0.7206032198899531
20.0,sqrt,1,5,200,0.7349140025264794,0.75015879737455,0.6959340011785504,0.722029753413491
20.0,sqrt,1,5,300,0.7350111748129433,0.7509554140127389,0.6947554507955215,0.721763085399449
20.0,sqrt,1,5,400,0.7341366242347682,0.7489955593148657,0.6957375761147122,0.7213849287169043
20.0,sqrt,1,10,200,0.7342337965212321,0.7486281131279021,0.6967197014339029,0.7217417845152101
20.0,sqrt,1,10,300,0.7354970362452629,0.7494209307222574,0.6990768021999607,0.7233739837398374
20.0,sqrt,1,10,400,0.7358857253911184,0.7504749841671944,0.6982911019446081,0.7234432234432234
20.0,sqrt,2,2,200,0.7321931785054903,0.7458412297325753,0.6957375761147122,0.7199186991869919
20.0,sqrt,2,2,300,0.7320960062190264,0.7454774926377787,0.6961304262423885,0.7199593702386998
20.0,sqrt,2,2,400,0.7317073170731707,0.7449537426408747,0.6959340011785504,0.719610033512745
20.0,sqrt,2,5,200,0.7340394519483043,0.748207507380852,0.6969161264977412,0.7216515814095393
20.0,sqrt,2,5,300,0.7338451073753766,0.7479966258962463,0.6967197014339029,0.7214481846842266
20.0,sqrt,2,5,400,0.7352055193858712,0.7487384356602187,0.699469652327637,0.7232659693307606
20.0,sqrt,2,10,200,0.7359828976775824,0.75,0.699469652327637,0.7238540502083545
20.0,sqrt,2,10,300,0.7351083470994072,0.7492096944151738,0.6982911019446081,0.7228548190321269
20.0,sqrt,2,10,400,0.7349140025264794,0.7489989462592203,0.69809467688077,0.7226514843432289
20.0,sqrt,4,2,200,0.7358857253911184,0.7507926442612556,0.6977018267530937,0.7232742822235797
20.0,sqrt,4,2,300,0.7360800699640463,0.7511101712835695,0.6977018267530937,0.7234215885947047
20.0,sqrt,4,2,400,0.7367602759692936,0.7517970401691332,0.6984875270084463,0.7241625089094796
20.0,sqrt,4,5,200,0.7358857253911184,0.7507926442612556,0.6977018267530937,0.7232742822235797
20.0,sqrt,4,5,300,0.7360800699640463,0.7511101712835695,0.6977018267530937,0.7234215885947047
20.0,sqrt,4,5,400,0.7367602759692936,0.7517970401691332,0.6984875270084463,0.7241625089094796
20.0,sqrt,4,10,200,0.7371489651151492,0.7504198152812762,0.702219603221371,0.7255200405885337
20.0,sqrt,4,10,300,0.7367602759692936,0.7504205214465938,0.7010410528383422,0.7248908296943232
20.0,sqrt,4,10,400,0.7371489651151492,0.7504198152812762,0.702219603221371,0.7255200405885337
20.0,log2,1,2,200,0.73442814109416,0.7487341772151899,0.6971125515615793,0.7220018309429356
20.0,log2,1,2,300,0.7332620736565931,0.7476773648648649,0.6955411510508741,0.7206675485906177
20.0,log2,1,2,400,0.7335535905159848,0.748676688545416,0.6945590257316834,0.7206032198899531
20.0,log2,1,5,200,0.7349140025264794,0.75015879737455,0.6959340011785504,0.722029753413491
20.0,log2,1,5,300,0.7350111748129433,0.7509554140127389,0.6947554507955215,0.721763085399449
